[ 2025-12-16 06:49:39 | node_49 | INFO ] 🧩 Model added (1/3) from ['node_49']
[ 2025-12-16 06:49:42 | node_2 | INFO ] 📤 Sending model to 2 direct neighbors: ['node_1', 'node_3']
[ 2025-12-16 06:49:42 | node_1 | INFO ] 🧩 Model added (2/3) from ['node_2']
[ 2025-12-16 06:49:42 | node_3 | INFO ] 🧩 Model added (2/3) from ['node_2']
[ 2025-12-16 06:49:42 | node_1 | INFO ] 📤 Sending model to 2 direct neighbors: ['node', 'node_2']
[ 2025-12-16 06:49:42 | node | INFO ] 🧩 Model added (2/3) from ['node_1']
[ 2025-12-16 06:49:42 | node_2 | INFO ] 🧩 Model added (2/3) from ['node_1']
[ 2025-12-16 06:49:43 | node_3 | INFO ] 📤 Sending model to 2 direct neighbors: ['node_2', 'node_4']
[ 2025-12-16 06:49:43 | node_2 | INFO ] 🧩 Model added (3/3) from ['node_3']
[ 2025-12-16 06:49:43 | node_2 | INFO ] 🧠 Aggregating models.
[ 2025-12-16 06:49:43 | node_2 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-16 06:49:43 | node | INFO ] 📤 Sending model to 2 direct neighbors: ['node_1', 'node_49']
[ 2025-12-16 06:49:43 | node_1 | INFO ] 🧩 Model added (3/3) from ['node']
[ 2025-12-16 06:49:43 | node_1 | INFO ] 🧠 Aggregating models.
[ 2025-12-16 06:49:43 | node_1 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-16 06:49:43 | node_49 | INFO ] 🧩 Model added (2/3) from ['node']
[ 2025-12-16 06:49:44 | node_49 | INFO ] 📤 Sending model to 2 direct neighbors: ['node', 'node_48']
[ 2025-12-16 06:49:44 | node | INFO ] 🧩 Model added (3/3) from ['node_49']
[ 2025-12-16 06:49:44 | node | INFO ] 🧠 Aggregating models.
[ 2025-12-16 06:49:44 | node | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-16 06:49:44 | node_1 | INFO ] 🤫 Gossip finished.
[ 2025-12-16 06:49:44 | node_1 | INFO ] 🎉 Round 62 of 100 finished.
[ 2025-12-16 06:49:44 | node_1 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-16 06:49:45 | node_48 | INFO ] 🔢 Computed 11 votes.
[ 2025-12-16 06:49:45 | node_48 | INFO ] 🚂 Train set of 11 nodes: ['node_46', 'node_5', 'node', 'node_3', 'node_48', 'node_1', 'node_2', 'node_6', 'node_49', 'node_47', 'node_4']
[ 2025-12-16 06:49:45 | node_48 | INFO ] 🧩 Model added (1/3) from ['node_49']
[ 2025-12-16 06:49:45 | node_48 | INFO ] 🔬 Evaluating...
[ 2025-12-16 06:49:45 | node_4 | INFO ] 🔢 Computed 11 votes.
[ 2025-12-16 06:49:45 | node_4 | INFO ] 🚂 Train set of 11 nodes: ['node_46', 'node_5', 'node', 'node_3', 'node_48', 'node_1', 'node_2', 'node_6', 'node_49', 'node_47', 'node_4']
[ 2025-12-16 06:49:45 | node_4 | INFO ] 🧩 Model added (1/3) from ['node_3']
[ 2025-12-16 06:49:45 | node_4 | INFO ] 🔬 Evaluating...
[ 2025-12-16 06:49:45 | node_48 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 0.6018229126930237, 'test_acc\n': 0.9549999833106995, 'test_precision\n': 0.9628576636314392, 'test_recall\n': 0.9471539258956909, 'test_f1\n': 0.9498148560523987}
[ 2025-12-16 06:49:45 | node_48 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-16 06:49:45 | node_48 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-16 06:49:45 | node_4 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 0.6366945505142212, 'test_acc\n': 0.9700000286102295, 'test_precision\n': 0.9695824384689331, 'test_recall\n': 0.9699237942695618, 'test_f1\n': 0.9674662947654724}
[ 2025-12-16 06:49:45 | node_4 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-16 06:49:45 | node_4 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-16 06:49:45 | node_48 | INFO ] 🎓 Training done.
[ 2025-12-16 06:49:45 | node_48 | INFO ] 🧩 Model added (2/3) from ['node_48']
[ 2025-12-16 06:49:45 | node_47 | INFO ] 🔢 Computed 11 votes.
[ 2025-12-16 06:49:45 | node_47 | INFO ] 🚂 Train set of 11 nodes: ['node_46', 'node_5', 'node', 'node_3', 'node_48', 'node_1', 'node_2', 'node_6', 'node_49', 'node_47', 'node_4']
[ 2025-12-16 06:49:45 | node_47 | INFO ] 🔬 Evaluating...
[ 2025-12-16 06:49:45 | node_4 | INFO ] 🎓 Training done.
[ 2025-12-16 06:49:45 | node_4 | INFO ] 🧩 Model added (2/3) from ['node_4']
