[ 2025-12-14 14:34:25 | node_27 | INFO ] 🔢 Computed 1 votes.
[ 2025-12-14 14:34:25 | node_27 | INFO ] 🚂 Train set of 1 nodes: ['node_27']
[ 2025-12-14 14:34:25 | node_27 | INFO ] 🔬 Evaluating...
[ 2025-12-14 14:34:25 | node_23 | INFO ] 🎓 Training done.
[ 2025-12-14 14:34:25 | node_23 | INFO ] 🧩 Model added (1/1) from ['node_23']
[ 2025-12-14 14:34:25 | node_23 | INFO ] 🤫 Gossip finished.
[ 2025-12-14 14:34:25 | node_23 | INFO ] 🧠 Aggregating models.
[ 2025-12-14 14:34:25 | node_25 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 39.213558197021484, 'test_acc\n': 0.9049999713897705, 'test_precision\n': 0.9064388871192932, 'test_recall\n': 0.9027258157730103, 'test_f1\n': 0.8966299295425415}
[ 2025-12-14 14:34:25 | node_25 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-14 14:34:25 | node_25 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-14 14:34:25 | node_23 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-14 14:34:25 | node_23 | INFO ] 🤫 Gossip finished.
[ 2025-12-14 14:34:25 | node_23 | INFO ] 🎉 Round 184 of 200 finished.
[ 2025-12-14 14:34:25 | node_23 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-14 14:34:25 | node_23 | INFO ] 🔢 Computed 1 votes.
[ 2025-12-14 14:34:25 | node_23 | INFO ] 🚂 Train set of 1 nodes: ['node_23']
[ 2025-12-14 14:34:25 | node_23 | INFO ] 🔬 Evaluating...
[ 2025-12-14 14:34:25 | node_6 | INFO ] 🎓 Training done.
[ 2025-12-14 14:34:25 | node_6 | INFO ] 🧩 Model added (1/1) from ['node_6']
[ 2025-12-14 14:34:25 | node_6 | INFO ] 🤫 Gossip finished.
[ 2025-12-14 14:34:25 | node_6 | INFO ] 🧠 Aggregating models.
[ 2025-12-14 14:34:26 | node_6 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-14 14:34:26 | node_6 | INFO ] 🤫 Gossip finished.
[ 2025-12-14 14:34:26 | node_6 | INFO ] 🎉 Round 183 of 200 finished.
[ 2025-12-14 14:34:26 | node_6 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-14 14:34:26 | node_6 | INFO ] 🔢 Computed 1 votes.
[ 2025-12-14 14:34:26 | node_6 | INFO ] 🚂 Train set of 1 nodes: ['node_6']
[ 2025-12-14 14:34:26 | node_6 | INFO ] 🔬 Evaluating...
[ 2025-12-14 14:34:26 | node_35 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 278.5325927734375, 'test_acc\n': 0.7300000190734863, 'test_precision\n': 0.7556805610656738, 'test_recall\n': 0.6926558017730713, 'test_f1\n': 0.6666639447212219}
[ 2025-12-14 14:34:26 | node_35 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-14 14:34:26 | node_35 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-14 14:34:26 | node_24 | INFO ] 🎓 Training done.
[ 2025-12-14 14:34:26 | node_24 | INFO ] 🧩 Model added (1/1) from ['node_24']
[ 2025-12-14 14:34:26 | node_32 | INFO ] 🎓 Training done.
[ 2025-12-14 14:34:26 | node_24 | INFO ] 🤫 Gossip finished.
