[ 2025-12-14 06:42:44 | node_23 | INFO ] 🎉 Round 94 of 100 finished.
[ 2025-12-14 06:42:44 | node_38 | INFO ] 🚂 Train set of 1 nodes: ['node_38']
[ 2025-12-14 06:42:44 | node_38 | INFO ] 🔬 Evaluating...
[ 2025-12-14 06:42:44 | node_23 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-14 06:42:44 | node_20 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-14 06:42:44 | node_20 | INFO ] 🤫 Gossip finished.
[ 2025-12-14 06:42:44 | node_23 | INFO ] 🔢 Computed 1 votes.
[ 2025-12-14 06:42:44 | node_23 | INFO ] 🚂 Train set of 1 nodes: ['node_23']
[ 2025-12-14 06:42:44 | node_20 | INFO ] 🎉 Round 78 of 100 finished.
[ 2025-12-14 06:42:44 | node_23 | INFO ] 🔬 Evaluating...
[ 2025-12-14 06:42:44 | node_20 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-14 06:42:44 | node_20 | INFO ] 🔢 Computed 1 votes.
[ 2025-12-14 06:42:44 | node_20 | INFO ] 🚂 Train set of 1 nodes: ['node_20']
[ 2025-12-14 06:42:44 | node_20 | INFO ] 🔬 Evaluating...
[ 2025-12-14 06:42:44 | node_21 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 90.720703125, 'test_acc\n': 0.7450000047683716, 'test_precision\n': 0.8235511183738708, 'test_recall\n': 0.711794376373291, 'test_f1\n': 0.698121190071106}
[ 2025-12-14 06:42:44 | node_21 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-14 06:42:44 | node_21 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-14 06:42:44 | node_27 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 148.0899658203125, 'test_acc\n': 0.7250000238418579, 'test_precision\n': 0.77348792552948, 'test_recall\n': 0.7004470825195312, 'test_f1\n': 0.6798615455627441}
[ 2025-12-14 06:42:44 | node_27 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-14 06:42:44 | node_27 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-14 06:42:44 | node_47 | INFO ] 🎓 Training done.
[ 2025-12-14 06:42:44 | node_33 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 93.04693603515625, 'test_acc\n': 0.7049999833106995, 'test_precision\n': 0.7076111435890198, 'test_recall\n': 0.7191861867904663, 'test_f1\n': 0.6578724384307861}
[ 2025-12-14 06:42:44 | node_47 | INFO ] 🧩 Model added (1/1) from ['node_47']
[ 2025-12-14 06:42:44 | node_33 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-14 06:42:44 | node_47 | INFO ] 🤫 Gossip finished.
[ 2025-12-14 06:42:44 | node_33 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-14 06:42:44 | node_47 | INFO ] 🧠 Aggregating models.
[ 2025-12-14 06:42:44 | node_47 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-14 06:42:44 | node_47 | INFO ] 🤫 Gossip finished.
[ 2025-12-14 06:42:44 | node_47 | INFO ] 🎉 Round 78 of 100 finished.
[ 2025-12-14 06:42:44 | node_47 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-14 06:42:44 | node_47 | INFO ] 🔢 Computed 1 votes.
[ 2025-12-14 06:42:44 | node_47 | INFO ] 🚂 Train set of 1 nodes: ['node_47']
[ 2025-12-14 06:42:44 | node_47 | INFO ] 🔬 Evaluating...
[ 2025-12-14 06:42:44 | node_1 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 174.35841369628906, 'test_acc\n': 0.699999988079071, 'test_precision\n': 0.7912858724594116, 'test_recall\n': 0.7512335181236267, 'test_f1\n': 0.689307689666748}
[ 2025-12-14 06:42:44 | node_1 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-14 06:42:44 | node_1 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-14 06:42:44 | node_32 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 107.1483383178711, 'test_acc\n': 0.6850000023841858, 'test_precision\n': 0.7011203169822693, 'test_recall\n': 0.7212556600570679, 'test_f1\n': 0.6639418601989746}
[ 2025-12-14 06:42:44 | node_32 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-14 06:42:44 | node_32 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-14 06:42:44 | node_29 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 116.46199035644531, 'test_acc\n': 0.5550000071525574, 'test_precision\n': 0.8820459842681885, 'test_recall\n': 0.5685443878173828, 'test_f1\n': 0.612063467502594}
[ 2025-12-14 06:42:44 | node_29 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-14 06:42:44 | node_29 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-14 06:42:44 | node_41 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 108.43217468261719, 'test_acc\n': 0.7099999785423279, 'test_precision\n': 0.821852445602417, 'test_recall\n': 0.6808299422264099, 'test_f1\n': 0.6493178009986877}
[ 2025-12-14 06:42:44 | node_41 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-14 06:42:44 | node_41 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-14 06:42:44 | node_16 | INFO ] 🎓 Training done.
[ 2025-12-14 06:42:44 | node_16 | INFO ] 🧩 Model added (1/1) from ['node_16']
[ 2025-12-14 06:42:44 | node_16 | INFO ] 🤫 Gossip finished.
[ 2025-12-14 06:42:44 | node_26 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 178.0016632080078, 'test_acc\n': 0.6600000262260437, 'test_precision\n': 0.7206053137779236, 'test_recall\n': 0.676848828792572, 'test_f1\n': 0.630018413066864}
[ 2025-12-14 06:42:44 | node_16 | INFO ] 🧠 Aggregating models.
[ 2025-12-14 06:42:44 | node_26 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-14 06:42:44 | node_26 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-14 06:42:44 | node_3 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 83.62020874023438, 'test_acc\n': 0.7200000286102295, 'test_precision\n': 0.7759696245193481, 'test_recall\n': 0.7159271240234375, 'test_f1\n': 0.6946802735328674}
[ 2025-12-14 06:42:44 | node_3 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-14 06:42:44 | node_3 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-14 06:42:45 | node_16 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-14 06:42:45 | node_16 | INFO ] 🤫 Gossip finished.
[ 2025-12-14 06:42:45 | node_16 | INFO ] 🎉 Round 78 of 100 finished.
[ 2025-12-14 06:42:45 | node_16 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-14 06:42:45 | node_16 | INFO ] 🔢 Computed 1 votes.
[ 2025-12-14 06:42:45 | node_16 | INFO ] 🚂 Train set of 1 nodes: ['node_16']
[ 2025-12-14 06:42:45 | node_16 | INFO ] 🔬 Evaluating...
[ 2025-12-14 06:42:45 | node_18 | INFO ] 🎓 Training done.
[ 2025-12-14 06:42:45 | node_18 | INFO ] 🧩 Model added (1/1) from ['node_18']
[ 2025-12-14 06:42:45 | node_18 | INFO ] 🤫 Gossip finished.
[ 2025-12-14 06:42:45 | node_18 | INFO ] 🧠 Aggregating models.
[ 2025-12-14 06:42:45 | node_18 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-14 06:42:45 | node_18 | INFO ] 🤫 Gossip finished.
[ 2025-12-14 06:42:45 | node_18 | INFO ] 🎉 Round 78 of 100 finished.
[ 2025-12-14 06:42:45 | node_18 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-14 06:42:45 | node_18 | INFO ] 🔢 Computed 1 votes.
[ 2025-12-14 06:42:45 | node_18 | INFO ] 🚂 Train set of 1 nodes: ['node_18']
[ 2025-12-14 06:42:45 | node_18 | INFO ] 🔬 Evaluating...
[ 2025-12-14 06:42:45 | node_34 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 82.29681396484375, 'test_acc\n': 0.7400000095367432, 'test_precision\n': 0.8306031823158264, 'test_recall\n': 0.7408294081687927, 'test_f1\n': 0.7347599267959595}
