[ 2025-12-17 01:17:19 | node_48 | ERROR ] Models ready from node_2 in a late round. Ignored. 75 != 74 / 73
[ 2025-12-17 01:17:19 | node_49 | ERROR ] Models ready from node_2 in a late round. Ignored. 75 != 74 / 73
[ 2025-12-17 01:17:19 | node_2 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-17 01:17:20 | node_5 | ERROR ] Models ready from node in a late round. Ignored. 75 != 74 / 73
[ 2025-12-17 01:17:20 | node_47 | ERROR ] Models ready from node_2 in a late round. Ignored. 75 != 74 / 73
[ 2025-12-17 01:17:20 | node_6 | ERROR ] Models ready from node in a late round. Ignored. 75 != 74 / 73
[ 2025-12-17 01:17:20 | node_6 | ERROR ] Models ready from node_1 in a late round. Ignored. 75 != 74 / 73
[ 2025-12-17 01:17:20 | node_46 | ERROR ] Models ready from node_1 in a late round. Ignored. 75 != 74 / 73
[ 2025-12-17 01:17:20 | node_46 | ERROR ] Models ready from node_2 in a late round. Ignored. 75 != 74 / 73
[ 2025-12-17 01:17:29 | node_46 | INFO ] ⏳ Aggregation wait timed out. Missing models: {'node'}
[ 2025-12-17 01:17:29 | node_46 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-17 01:17:37 | node_6 | INFO ] ⏳ Aggregation wait timed out. Missing models: {'node_2'}
[ 2025-12-17 01:17:37 | node_6 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-17 01:17:41 | node_47 | INFO ] ⏳ Aggregation wait timed out. Missing models: {'node', 'node_1'}
[ 2025-12-17 01:17:41 | node_47 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-17 01:18:02 | node_5 | INFO ] ⏳ Aggregation wait timed out. Missing models: {'node_1', 'node_2'}
[ 2025-12-17 01:18:02 | node_5 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-17 01:18:12 | node_48 | INFO ] ⏳ Aggregation wait timed out. Missing models: {'node', 'node_1', 'node_46', 'node_2'}
[ 2025-12-17 01:18:12 | node_48 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-17 01:18:13 | node_49 | INFO ] ⏳ Aggregation wait timed out. Missing models: {'node', 'node_1', 'node_46', 'node_2'}
[ 2025-12-17 01:18:13 | node_3 | INFO ] ⏳ Aggregation wait timed out. Missing models: {'node', 'node_6', 'node_1', 'node_2'}
[ 2025-12-17 01:18:13 | node_49 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-17 01:18:13 | node_3 | INFO ] 🗣️ Gossiping aggregated model.
